,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region
0,2021-03-16,AA,"$1,001 - $15,000",2021-04-19,75000.5,0.22052839500620985,34.0,sen,Republican,Thomas H Tuberville,SE
1,2021-04-19,CLF,"$50,001 - $100,000",2021-07-19,75000.5,0.10753311701359428,91.0,sen,Republican,Thomas H Tuberville,SE
2,2015-08-25,AEE,"$1,001 - $15,000",2016-06-24,8000.5,0.3022378757709367,304.0,sen,Democrat,Thomas R Carper,NE
3,2017-06-28,QCOM,"$1,001 - $15,000",2019-04-17,8000.5,0.4081196945497988,658.0,sen,Democrat,Thomas R Carper,NE
4,2017-06-28,QCOM,"$1,001 - $15,000",2019-04-17,8000.5,0.4081196945497988,658.0,sen,Democrat,Thomas R Carper,NE
5,2019-07-16,CAG,"$1,001 - $15,000",2021-01-11,8000.5,0.1762615206842271,545.0,sen,Democrat,Thomas R Carper,NE
6,2017-08-31,RMD,"$1,001 - $15,000",2020-07-09,8000.5,1.4966485933218117,1043.0,sen,Democrat,Thomas R Carper,NE
7,2019-11-04,DRI,"$1,001 - $15,000",2020-04-02,8000.5,-0.6006308914640035,150.0,sen,Democrat,Thomas R Carper,NE
8,2020-04-02,QCOM,"$1,001 - $15,000",2020-07-09,8000.5,0.37092038521153625,98.0,sen,Democrat,Thomas R Carper,NE
9,2017-08-31,RMD,"$1,001 - $15,000",2020-07-09,8000.5,1.4966485933218117,1043.0,sen,Democrat,Thomas R Carper,NE
10,2020-04-02,ARCC,"$1,001 - $15,000",2020-07-09,8000.5,0.4300518897674992,98.0,sen,Democrat,Thomas R Carper,NE
11,2020-04-02,GLAD,"$1,001 - $15,000",2020-07-09,8000.5,0.37373746520292733,98.0,sen,Democrat,Thomas R Carper,NE
12,2020-04-14,SWKS,"$1,001 - $15,000",2020-07-09,8000.5,0.3870832097513371,86.0,sen,Democrat,Thomas R Carper,NE
13,2020-03-24,ABBV,"$1,001 - $15,000",2020-07-09,8000.5,0.4511780343970512,107.0,sen,Democrat,Thomas R Carper,NE
