,transaction_date,owner,ticker,type,amount,representative,district,cap_gains_over_200_usd,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper
0,2021-09-27,joint,BP,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,False,2021,9,27,1001,15000
1,2021-09-13,joint,XOM,purchase,"$1,001 - $15,000",Virginia Foxx,NC05,False,2021,9,13,1001,15000
2,2021-09-10,joint,ILPT,purchase,"$15,001 - $50,000",Virginia Foxx,NC05,False,2021,9,10,15001,50000
3,2021-09-28,joint,PM,purchase,"$15,001 - $50,000",Virginia Foxx,NC05,False,2021,9,28,15001,50000
4,2021-09-17,self,BLK,sale_partial,"$1,001 - $15,000",Alan S. Lowenthal,CA47,False,2021,9,17,1001,15000
5,2020-02-24,joint,BHC,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,24,1001,15000
6,2020-03-06,joint,BAH,sale_full,"$1,001 - $15,000",Susie Lee,NV03,True,2020,3,6,1001,15000
7,2020-03-23,joint,BYD,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,23,1001,15000
8,2020-02-04,joint,CTLT,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,4,1001,15000
9,2020-03-18,joint,CBRE,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,18,1001,15000
10,2020-03-24,joint,CNC,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,24,1001,15000
11,2020-03-31,joint,DG,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,31,1001,15000
12,2020-02-26,joint,DPZ,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,True,2020,2,26,1001,15000
13,2020-02-05,joint,DNKN,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,5,1001,15000
14,2020-02-24,joint,ENV,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,24,1001,15000
15,2020-02-21,joint,ENV,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,21,1001,15000
16,2020-03-06,joint,AQUA,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,6,1001,15000
17,2020-03-17,joint,LKQ,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,17,1001,15000
18,2020-02-24,joint,MAS,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,24,1001,15000
19,2020-02-05,joint,NXST,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,True,2020,2,5,1001,15000
20,2020-02-24,joint,OKE,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,True,2020,2,24,1001,15000
21,2020-03-09,joint,OKE,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,9,1001,15000
22,2020-02-24,joint,PANW,sale_full,"$1,001 - $15,000",Susie Lee,NV03,True,2020,2,24,1001,15000
23,2020-03-06,joint,RP,sale_full,"$1,001 - $15,000",Susie Lee,NV03,True,2020,3,6,1001,15000
24,2020-03-16,joint,QSR,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,16,1001,15000
25,2020-02-05,joint,QSR,purchase,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,5,1001,15000
26,2020-03-24,joint,SCI,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,24,1001,15000
27,2020-02-25,joint,COO,sale_full,"$1,001 - $15,000",Susie Lee,NV03,True,2020,2,25,1001,15000
28,2020-02-24,joint,UNVR,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,24,1001,15000
29,2020-03-17,joint,USFD,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,17,1001,15000
30,2020-02-25,joint,MTN,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,25,1001,15000
31,2020-02-26,joint,VLO,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,26,1001,15000
32,2020-02-18,joint,WAB,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,18,1001,15000
33,2020-03-18,joint,WH,sale_full,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,18,1001,15000
34,2020-03-17,joint,WH,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,2020,3,17,1001,15000
35,2020-02-05,joint,XPO,sale_partial,"$1,001 - $15,000",Susie Lee,NV03,False,2020,2,5,1001,15000
36,2020-03-16,self,BRK.B,sale_full,"$1,001 - $15,000",Alan S. Lowenthal,CA47,False,2020,3,16,1001,15000
37,2020-03-13,self,BSX,sale_partial,"$1,001 -",Alan S. Lowenthal,CA47,True,2020,3,13,1001,0
38,2020-03-13,self,SPCE,sale_partial,"$1,001 -",Alan S. Lowenthal,CA47,False,2020,3,13,1001,0
43,2021-02-04,self,DD,sale_full,"$1,001 - $15,000",Alan S. Lowenthal,CA47,False,2021,2,4,1001,15000
46,2021-03-15,joint,COLD,sale_full,"$1,001 - $15,000",Alan S. Lowenthal,CA47,False,2021,3,15,1001,15000
47,2021-03-15,self,COLD,sale_full,"$1,001 - $15,000",Alan S. Lowenthal,CA47,False,2021,3,15,1001,15000
48,2021-03-11,self,ADBE,purchase,"$1,001 - $15,000",Alan S. Lowenthal,CA47,False,2021,3,11,1001,15000
49,2021-03-12,self,COLD,sale_partial,"$1,001 - $15,000",Alan S. Lowenthal,CA47,True,2021,3,12,1001,15000
50,2021-03-15,self,COLD,sale_full,"$15,001 - $50,000",Alan S. Lowenthal,CA47,True,2021,3,15,15001,50000
51,2021-03-11,self,NVDA,purchase,"$1,001 - $15,000",Alan S. Lowenthal,CA47,False,2021,3,11,1001,15000
53,2021-01-22,joint,LEE,sale_full,"$1,001 - $15,000",Mo Brooks,AL05,False,2021,1,22,1001,15000
54,2021-01-22,self,LEE,sale_full,"$1,001 - $15,000",Mo Brooks,AL05,False,2021,1,22,1001,15000
55,2020-11-24,self,LEE,purchase,"$1,001 - $15,000",Mo Brooks,AL05,False,2020,11,24,1001,15000
57,2020-12-01,joint,VTRS,sale_full,"$1,001 - $15,000",Mo Brooks,AL05,False,2020,12,1,1001,15000
58,2021-01-12,self,GM,purchase,"$1,001 -",Alan S. Lowenthal,CA47,False,2021,1,12,1001,0
59,2021-01-12,self,JIH,purchase,"$1,001 -",Alan S. Lowenthal,CA47,False,2021,1,12,1001,0
60,2021-01-14,self,JIH,purchase,"$1,001 -",Alan S. Lowenthal,CA47,False,2021,1,14,1001,0
