,transaction_date,owner,ticker,type,amount,comment,senator,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper
5,2021-08-18,Joint,SSYS,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,8,18,1001,15000
6,2021-08-12,Joint,SSBK,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,2021,8,12,50001,100000
19,2021-08-23,Spouse,LMRK,Sale (Full),"$1,001 - $15,000",--,Thomas R Carper,2021,8,23,1001,15000
22,2021-08-11,Spouse,WW,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,8,11,1001,15000
23,2021-08-04,Spouse,ARE,Sale (Partial),"$1,001 - $15,000",--,Thomas R Carper,2021,8,4,1001,15000
24,2021-08-04,Spouse,COR,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,8,4,1001,15000
40,2021-07-21,Joint,CLF,Purchase,"$100,001 - $250,000",--,Thomas H Tuberville,2021,7,21,100001,250000
43,2021-07-19,Joint,CLF,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,7,19,50001,100000
44,2021-07-19,Joint,AA,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,7,19,50001,100000
49,2021-07-16,Joint,CRWD,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
50,2021-07-16,Joint,NWL,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
51,2021-07-16,Joint,PEGA,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
52,2021-07-16,Joint,PEP,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
53,2021-07-16,Self,XLY,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
55,2021-07-16,Self,MTUM,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
56,2021-07-16,Self,SQ,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
57,2021-07-16,Self,DTD,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,7,16,15001,50000
58,2021-07-26,Spouse,RDSA,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
59,2021-07-26,Spouse,MSFT,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
60,2021-07-26,Spouse,IBM,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
61,2021-07-26,Spouse,INTC,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
62,2021-07-26,Spouse,C,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,2021,7,26,1001,15000
65,2021-07-30,Spouse,PINS,Purchase,"$15,001 - $50,000",--,John W Hickenlooper,2021,7,30,15001,50000
66,2021-07-27,Spouse,SNAP,Sale (Partial),"$15,001 - $50,000",--,John W Hickenlooper,2021,7,27,15001,50000
67,2021-07-21,Self,O,Purchase,"$15,001 - $50,000",--,Gary C Peters,2021,7,21,15001,50000
87,2021-07-08,Spouse,JCI,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,7,8,1001,15000
88,2021-07-08,Spouse,FAST,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2021,7,8,1001,15000
89,2021-06-24,Spouse,TMO,Purchase,"$1,001 - $15,000",--,"Angus S King, Jr.",2021,6,24,1001,15000
90,2021-06-24,Spouse,ADBE,Purchase,"$1,001 - $15,000",--,"Angus S King, Jr.",2021,6,24,1001,15000
92,2021-03-29,Joint,ALGN,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,29,1001,15000
96,2021-01-21,Joint,CLF,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,21,15001,50000
97,2021-01-15,Joint,SDOG,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,15,15001,50000
99,2021-01-13,Joint,TDY,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,1,13,50001,100000
103,2021-01-06,Joint,AA,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,6,15001,50000
104,2021-01-06,Joint,AA,Purchase,"$15,001 - $50,000",--,Thomas H Tuberville,2021,1,6,15001,50000
110,2021-01-04,Joint,WY,Sale (Full),"$50,001 - $100,000",--,Thomas H Tuberville,2021,1,4,50001,100000
