,transaction_date,ticker,amount,sell_date,weight,gain,holding_time,type_y,party,name,region,sector
0,2021-03-16,AA,"$1,001 - $15,000",2021-04-19,75000.5,0.2205283950062098,34.0,sen,Republican,Thomas H Tuberville,SE,Basic Materials
1,2021-04-19,CLF,"$50,001 - $100,000",2021-07-19,75000.5,0.1075331170135942,91.0,sen,Republican,Thomas H Tuberville,SE,Basic Materials
2,2015-08-25,AEE,"$1,001 - $15,000",2016-06-24,8000.5,0.3022378757709367,304.0,sen,Democrat,Thomas R Carper,NE,Utilities
3,2017-06-28,QCOM,"$1,001 - $15,000",2019-04-17,8000.5,0.4081196945497988,658.0,sen,Democrat,Thomas R Carper,NE,Technology
4,2017-06-28,QCOM,"$1,001 - $15,000",2019-04-17,8000.5,0.4081196945497988,658.0,sen,Democrat,Thomas R Carper,NE,Technology
5,2019-07-16,CAG,"$1,001 - $15,000",2021-01-11,8000.5,0.1762615206842271,545.0,sen,Democrat,Thomas R Carper,NE,Consumer Defensive
6,2017-08-31,RMD,"$1,001 - $15,000",2020-07-09,8000.5,1.4966485933218117,1043.0,sen,Democrat,Thomas R Carper,NE,Healthcare
7,2019-11-04,DRI,"$1,001 - $15,000",2020-04-02,8000.5,-0.6006308914640035,150.0,sen,Democrat,Thomas R Carper,NE,Consumer Cyclical
8,2020-04-02,QCOM,"$1,001 - $15,000",2020-07-09,8000.5,0.3709203852115362,98.0,sen,Democrat,Thomas R Carper,NE,Technology
9,2017-08-31,RMD,"$1,001 - $15,000",2020-07-09,8000.5,1.4966485933218117,1043.0,sen,Democrat,Thomas R Carper,NE,Healthcare
10,2020-04-02,ARCC,"$1,001 - $15,000",2020-07-09,8000.5,0.4300518897674992,98.0,sen,Democrat,Thomas R Carper,NE,Financial Services
11,2020-04-02,GLAD,"$1,001 - $15,000",2020-07-09,8000.5,0.3737374652029273,98.0,sen,Democrat,Thomas R Carper,NE,Financial Services
12,2020-04-14,SWKS,"$1,001 - $15,000",2020-07-09,8000.5,0.3870832097513371,86.0,sen,Democrat,Thomas R Carper,NE,Technology
13,2020-03-24,ABBV,"$1,001 - $15,000",2020-07-09,8000.5,0.4511780343970512,107.0,sen,Democrat,Thomas R Carper,NE,Healthcare
14,2020-04-02,APO,"$1,001 - $15,000",2020-07-09,8000.5,0.6112367656515142,98.0,sen,Democrat,Thomas R Carper,NE,Financial Services
15,2015-05-14,AAPL,"$1,001 - $15,000",2020-11-20,75000.5,2.639860383555912,2017.0,sen,Democrat,Thomas R Carper,NE,Technology
16,2020-04-02,TSN,"$1,001 - $15,000",2020-07-09,8000.5,0.0264081304687012,98.0,sen,Democrat,Thomas R Carper,NE,Consumer Defensive
17,2020-04-02,ARE,"$1,001 - $15,000",2020-08-21,8000.5,0.2992083734024613,141.0,sen,Democrat,Thomas R Carper,NE,Real Estate
18,2019-02-27,WW,"$1,001 - $15,000",2020-11-20,8000.5,0.4166236110056671,632.0,sen,Democrat,Thomas R Carper,NE,Consumer Cyclical
19,2015-05-14,AAPL,"$1,001 - $15,000",2020-11-20,75000.5,2.639860383555912,2017.0,sen,Democrat,Thomas R Carper,NE,Technology
20,2015-06-12,DD,"$1,001 - $15,000",2021-01-27,32500.5,0.0558087577917594,2056.0,sen,Democrat,Thomas R Carper,NE,Basic Materials
21,2015-02-20,HBI,"$1,001 - $15,000",2020-11-20,8000.5,-0.5525646192819378,2100.0,sen,Democrat,Thomas R Carper,NE,Consumer Cyclical
22,2015-06-12,DD,"$1,001 - $15,000",2021-01-27,32500.5,0.0558087577917594,2056.0,sen,Democrat,Thomas R Carper,NE,Basic Materials
23,2017-08-31,PBA,"$1,001 - $15,000",2020-12-30,8000.5,-0.2665218825501683,1217.0,sen,Democrat,Thomas R Carper,NE,Energy
24,2020-11-20,AJRD,"$1,001 - $15,000",2021-01-08,8000.5,0.4062333411849299,49.0,sen,Democrat,Thomas R Carper,NE,Industrials
25,2019-07-16,CAG,"$1,001 - $15,000",2021-01-11,8000.5,0.1762615206842271,545.0,sen,Democrat,Thomas R Carper,NE,Consumer Defensive
26,2020-11-20,DDOG,"$1,001 - $15,000",2021-01-11,8000.5,0.1701650497841778,52.0,sen,Democrat,Thomas R Carper,NE,Technology
27,2020-11-20,EVOP,"$1,001 - $15,000",2021-01-25,8000.5,-0.0439216015385646,66.0,sen,Democrat,Thomas R Carper,NE,Technology
28,2020-11-20,VIAV,"$1,001 - $15,000",2021-01-25,8000.5,0.1687363396947615,66.0,sen,Democrat,Thomas R Carper,NE,Technology
29,2015-06-12,DD,"$1,001 - $15,000",2021-01-27,32500.5,0.0558087577917594,2056.0,sen,Democrat,Thomas R Carper,NE,Basic Materials
30,2020-11-20,NUAN,"$1,001 - $15,000",2021-04-13,8000.5,0.2639728856536008,144.0,sen,Democrat,Thomas R Carper,NE,Technology
31,2020-11-20,ARE,"$1,001 - $15,000",2021-08-04,8000.5,0.2457048981419584,257.0,sen,Democrat,Thomas R Carper,NE,Real Estate
32,2016-04-19,SJM,"$1,001 - $15,000",2017-10-06,8000.5,-0.1952443538474696,535.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
33,2017-09-05,MRK,"$1,001 - $15,000",2018-01-04,8000.5,-0.1032694258836168,121.0,sen,Republican,Shelley M Capito,SE,Healthcare
34,2017-09-08,SGAPY,"$1,001 - $15,000",2017-12-19,8000.5,-0.0291757561938225,102.0,sen,Republican,Shelley M Capito,SE,Communication Services
35,2017-09-08,SSDOY,"$1,001 - $15,000",2017-12-19,8000.5,0.1294642420991805,102.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
36,2017-09-05,MSFT,"$1,001 - $15,000",2018-01-04,8000.5,0.1833989931811185,121.0,sen,Republican,Shelley M Capito,SE,Technology
37,2017-09-05,MRK,"$1,001 - $15,000",2018-01-04,8000.5,-0.1032694258836168,121.0,sen,Republican,Shelley M Capito,SE,Healthcare
38,2017-09-05,INTC,"$1,001 - $15,000",2018-01-04,32500.5,0.2687035900745108,121.0,sen,Republican,Shelley M Capito,SE,Technology
39,2017-09-05,XOM,"$1,001 - $15,000",2018-01-04,8000.5,0.1249028161639171,121.0,sen,Republican,Shelley M Capito,SE,Energy
40,2017-09-05,CSCO,"$1,001 - $15,000",2018-01-04,8000.5,0.2330803492607396,121.0,sen,Republican,Shelley M Capito,SE,Technology
41,2017-09-08,FANUY,"$1,001 - $15,000",2018-03-28,8000.5,0.2848360315345694,201.0,sen,Republican,Shelley M Capito,SE,Industrials
42,2017-09-08,HXL,"$1,001 - $15,000",2018-01-26,8000.5,0.268192106781762,140.0,sen,Republican,Shelley M Capito,SE,Industrials
43,2017-09-08,OXY,"$1,001 - $15,000",2018-02-27,8000.5,0.108067698209581,172.0,sen,Republican,Shelley M Capito,SE,Energy
44,2017-09-08,CERN,"$1,001 - $15,000",2018-02-27,8000.5,-0.0778658663301445,172.0,sen,Republican,Shelley M Capito,SE,Healthcare
45,2017-09-08,RHHBY,"$1,001 - $15,000",2018-02-28,8000.5,-0.0819307698462534,173.0,sen,Republican,Shelley M Capito,SE,Healthcare
46,2017-09-08,FANUY,"$1,001 - $15,000",2018-03-28,8000.5,0.2848360315345694,201.0,sen,Republican,Shelley M Capito,SE,Industrials
47,2017-09-08,CME,"$1,001 - $15,000",2018-04-24,32500.5,0.2621057058507162,228.0,sen,Republican,Shelley M Capito,SE,Financial Services
48,2016-06-24,BRK-B,"$1,001 - $15,000",2018-04-24,32500.5,0.4086321207815392,669.0,sen,Republican,Shelley M Capito,SE,Financial Services
49,2017-09-08,NSRGY,"$1,001 - $15,000",2018-04-24,8000.5,-0.1006695638590559,228.0,sen,Republican,Shelley M Capito,SE,Consumer Defensive
50,2017-09-08,RCL,"$1,001 - $15,000",2018-05-17,8000.5,-0.0859940292597194,251.0,sen,Republican,Shelley M Capito,SE,Consumer Cyclical
51,2017-09-08,BNPQY,"$1,001 - $15,000",2018-05-18,8000.5,-0.0417436745060294,252.0,sen,Republican,Shelley M Capito,SE,Financial Services
52,2017-12-19,ENB,"$1,001 - $15,000",2019-03-11,8000.5,-0.0602626845800571,447.0,sen,Republican,Shelley M Capito,SE,Energy
