,transaction_date,owner,ticker,type,amount,comment,senator,transaction_year,transaction_month,transaction_day,amount_lower,amount_upper,sell_date,weight,gain
0,2021-03-16,Joint,AA,Purchase,"$1,001 - $15,000",--,Thomas H Tuberville,2021,3,16,1001,15000,2021-04-19,75000.5,0.22052839500620985
1,2021-04-19,Joint,CLF,Purchase,"$50,001 - $100,000",--,Thomas H Tuberville,2021,4,19,50001,100000,2021-07-19,75000.5,0.10753311701359428
2,2015-08-25,Spouse,AEE,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2015,8,25,1001,15000,2016-06-24,8000.5,0.3022378757709367
3,2017-06-28,Spouse,QCOM,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2017,6,28,1001,15000,2019-04-17,8000.5,0.4081196945497988
4,2017-06-28,Spouse,QCOM,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2017,6,28,1001,15000,2019-04-17,8000.5,0.4081196945497988
5,2019-07-16,Spouse,CAG,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2019,7,16,1001,15000,2021-01-11,8000.5,0.1762615206842271
6,2017-08-31,Spouse,RMD,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2017,8,31,1001,15000,2020-07-09,8000.5,1.4966485933218117
7,2019-11-04,Spouse,DRI,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2019,11,4,1001,15000,2020-04-02,8000.5,-0.6006308914640035
8,2020-04-02,Spouse,QCOM,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2020,4,2,1001,15000,2020-07-09,8000.5,0.37092038521153625
9,2017-08-31,Spouse,RMD,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2017,8,31,1001,15000,2020-07-09,8000.5,1.4966485933218117
10,2020-04-02,Spouse,ARCC,Purchase,"$1,001 - $15,000",--,Thomas R Carper,2020,4,2,1001,15000,2020-07-09,8000.5,0.43005188976749914
